"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
12836,y,4," ",1,2510.9880371094,416.2887878,416.28674315091,4.911636329221,4.4680663928236%,1.4158635432256%,1.9999999999465E-6
12836,M,+2H," ",2,15141.842773438,577.3875732,577.38698580889,1.0173265428112,26.943481140315%,8.5379869769689%,5.9999999999505E-6
12836,y,8," ",1,6521.603515625,813.5223389,813.51926115091,3.7832528841519,11.604578383029%,3.6773176632794%,2.9999999999752E-6
12836,y,9," ",1,1864.1398925781,912.5945435,912.58767515091,7.5262347696385,3.3170611259217%,1.0511271556723%,2.9999999999752E-6
12838,y,1," ",1,2047.4815673828,175.1196136,175.11895115091,3.7828520937121,3.5277426332572%,0.58640736519698%,9.9999999991773E-7
12838,b,3," ",1,7980.2109375,258.1451111,258.14483446688,1.071619819895,13.749637991901%,2.2855661042933%,2.0000000000575E-6
12838,y,4," ",1,2647.3991699219,475.2272949,475.22593515091,2.8612686944181,4.5613807067973%,0.75822629936688%,1.9999999999465E-6
12838,y,5," ",1,23433.724609375,532.2504272,532.24739915091,5.6891759279658,40.375528003493%,6.7115176633803%,1.9999999999465E-6
12838,y,6," ",1,15629.119140625,603.2850342,603.28451315091,0.86368716532628,26.928452392915%,4.4762457067288%,3.0000000000863E-6
12838,y,7," ",1,13147.479492188,750.3509521,750.35292315091,-2.6268317858064,22.652669827817%,3.7654936341381%,4.000000000004E-6
12838,y,8," ",1,2149.6000976563,863.4348145,863.43698315091,-2.5116493169617,3.7036894640518%,0.61565454340333%,4.000000000004E-6
13034,b,6," ",2,2614.9296875,388.2283325,388.22668146688,4.2527554129239,35.240635845153%,5.5265245200056%,2.0000000000575E-6
13034,y,13," ",2,2697.0024414063,747.8848877,747.87973380889,6.8913367660047,36.346706133408%,5.6999812248094%,1.9999999999465E-6
13034,b,6," ",1,2364.3505859375,775.4453125,775.44608646688,-0.99809244321553,31.863655228511%,4.9969379863385%,1.9999999999465E-6
13034,y,15," ",2,2205.3254394531,847.9262695,847.91958580889,7.8824586882593,29.720520250821%,4.6608462070664%,2.0000000000575E-6
13034,b,16," ",2,2397.44921875,876.9689941,876.97319946688,-4.7953197216366,32.309715736942%,5.0668903092218%,1.0000000000288E-6
13034,y,16," ",2,4944.5913085938,883.4321289,883.43814280889,-6.8073910357911,66.636798129686%,10.450149095395%,1.9999999999465E-6
13110,a,2," ",1,1957.33203125,143.1181946,143.11788584731,2.1573312740349,0.53199447609166%,0.26923424222383%,2.9999999999752E-6
13110,y,1," ",1,5898.7006835938,175.1192169,175.11895115091,1.5175347342654,1.6032416215996%,0.81137598695422%,1.9999999999465E-6
13110,a,3," ",1,3299.3664550781,299.2192078,299.21899584731,0.70835305899487,0.89675369364018%,0.45383328590622%,1.9999999999465E-6
13110,b,3," ",1,11025.514648438,327.2132568,327.21391046688,-1.9976744816327,2.996687733808%,1.5165776853936%,2.0000000000575E-6
13110,M,+2H," ",2,367923.375,719.9298706,719.92806980889,2.5013486505271,100%,50.60846574983%,5.0000000000328E-6
13110,y,11," ",1,14065.780273438,1112.6483154,1112.6422291509,5.4700863688996,3.8230189298077%,1.9347712257012%,2.9999999999752E-6
13298,a,2," ",1,10757.318359375,223.1081085,223.10772084731,1.7375135629038,74.919238438436%,12.096451936473%,2.9999999999752E-6
13298,b,2," ",1,3568.9245605469,251.1032562,251.10263546688,2.4720294944029,24.855740175002%,4.0132050543925%,1.0000000000288E-6
13298,y,13," ",2,1719.1064453125,681.8377686,681.83446280889,4.848377848527,11.972700014514%,1.9331108176491%,1.9999999999465E-6
13298,y,15," ",2,9095.4716796875,768.869812,768.86649180889,4.3182934114975,63.345323501251%,10.22772891322%,1.9999999999465E-6
13298,y,16," ",2,2967.8896484375,818.4005127,818.40069880889,-0.22740559029828,20.669838411585%,3.3373498195107%,3.0000000000863E-6
13322,a,1," ",1,1964.7264404297,120.0812912,120.08077184731,4.3250279207627,5.5772488854539%,1.7770838095537%,4.9999999999217E-6
13322,y,1," ",1,2080.3994140625,175.1193848,175.11895115091,2.4763116050989,5.9056085746173%,1.8817093515201%,1.0000000000288E-6
13322,b,2," ",1,1945.5968017578,304.177063,304.17679646688,0.87624409244892,5.5229457754807%,1.7597811609676%,1.9999999999465E-6
13322,M,+2H," ",2,35227.51953125,518.3110962,518.30853780889,4.9360389021394,100%,31.863089599399%,4.000000000004E-6
13371,a,2," ",1,11420.483398438,143.1188965,143.11788584731,7.0616798524128,85.375577492413%,7.3747870389792%,9.9999999991773E-7
13371,b,2," ",1,2413.8520507813,171.1140137,171.11280046688,7.0902534332215,18.045121701669%,1.5587470509831%,1.9999999999465E-6
13371,y,5," ",1,3755.3928222656,620.3215332,620.31845015091,4.9701070316328,28.074015759758%,2.4250481652737%,1.9999999999465E-6
13371,y,11," ",2,3249.1896972656,739.3074951,739.30469430889,3.7884124469158,24.28981656104%,2.0981670591857%,2.0000000000575E-6
13371,y,12," ",2,7291.4497070313,803.3549194,803.35217430889,3.417045716448,54.508352035243%,4.7084599590715%,3.0000000000863E-6
13371,y,7," ",1,1995.7025146484,943.4156494,943.41243415091,3.4081054845256,14.919180628946%,1.2887266261165%,2.9999999999752E-6
13371,y,15," ",2,2834.6069335938,952.9489746,952.94442830889,4.7707830287869,21.1905394436%,1.8304498807229%,2.9999999999752E-6
13371,y,8," ",1,1700.2767333984,1057.4525146,1057.4553641509,-2.6947245297348,12.710679832577%,1.097955172183%,2.9999999999752E-6
13814,a,1," ",1,35482.51953125,159.0920563,159.09167184731,2.4165481859893,43.74274588017%,1.9822308951777%,1.9999999999465E-6
13814,y,1," ",1,8492.30078125,175.1192322,175.11895115091,1.604903919043,10.469283464637%,0.47442236915871%,1.9999999999465E-6
