"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
952,a,6," ",1,9712.6962890625,615.3128662,615.30966984731,5.1947057679323,2.2171635037295%,0.32493516081797%,1.6000000000016E-5
952,b,6," ",1,22564.845703125,643.307312,643.30458446688,4.2398782579904,5.1509849449936%,0.75489972600443%,1.4999999999987E-5
1072,y,1," ",1,66839.3125,147.1132813,147.11280115091,3.2638158423174,18.703328206701%,1.9771616077468%,4.000000000004E-6
1072,a,2," ",1,36785.41796875,161.0925751,161.09207084731,3.1302142206595,10.29348926188%,1.0881427922038%,6.0000000000615E-6
1072,b,2," ",1,24533.392578125,189.0875854,189.08698546688,3.1727890712723,6.8650630332639%,0.72571784626375%,8.000000000008E-6
1072,y,2," ",1,32224.1796875,218.150528,218.14991515091,2.8093024496624,9.0171395597019%,0.95321762801286%,9.0000000000368E-6
1072,y,3," ",1,11867.936523438,317.2187805,317.21832915091,1.4228342107994,3.3209484602965%,0.35106328266493%,1.3000000000041E-5
1072,y,4," ",1,29068.75,418.2677002,418.26600915091,4.0429990817796,8.1341706171581%,0.85987743343696%,1.6000000000016E-5
1072,z,5," ",1,10933.134765625,530.3019409,530.30586508202,-7.3998465366473,3.0593673124567%,0.32341108102984%,1.6999999999934E-5
1072,y,5," ",1,31791.892578125,546.3265381,546.32458915091,3.5673830715128,8.8961747055801%,0.94043022125759%,1.8000000000074E-5
1072,y,6," ",1,9544.7431640625,647.3735352,647.37226915091,1.9556739625771,2.6708602672436%,0.28234132030889%,1.8999999999991E-5
1214,y,1," ",1,38310.2421875,147.1133575,147.11280115091,3.7817857225661,7.6694753657073%,0.74137742267802%,3.0000000000863E-6
1214,c,4," ",1,6326.90625,444.2193909,444.220128568,-1.6605911158373,1.2666078013296%,0.12243789601207%,1.299999999993E-5
1405,b,1," ",1,84312.25,129.1026459,129.10223646688,3.1713867413287,8.452430563453%,2.7059101218235%,2.9999999999752E-6
1405,y,1," ",1,87499.484375,147.1132965,147.11280115091,3.3671379180291,8.7719556294326%,2.8082009485531%,2.0000000000575E-6
1405,y,2," ",1,14652.162109375,276.1560974,276.15539115091,2.5574336538605,1.4689014091541%,0.47024523433257%,5.0000000000328E-6
1405,M,+2H," ",2,240062.703125,517.755188,517.75365280889,2.9650995172005,24.066649022401%,7.7045518089985%,1.6000000000016E-5
1405,b,7," ",1,5249.7841796875,759.3532104,759.35191446688,1.7066304783388,0.52629880298441%,0.16848612330006%,8.000000000008E-6
1405,b,8," ",1,27814.072265625,888.394165,888.39450446688,-0.38211276321509,2.7884028063782%,0.8926624502689%,9.0000000000368E-6
1405,y,8," ",1,42864.0390625,906.4080811,906.40506915091,3.3229614369523,4.2971847370331%,1.3756747941308%,8.9999999999257E-6
1725,a,2," ",1,61143.67578125,117.0662918,117.06585484731,3.7325374813509,21.060872788342%,1.4570348625851%,4.000000000004E-6
